2023-08-10 01:53:14 startup archives install
2023-08-10 01:53:14 install base-passwd:riscv64 <none> 3.5.52build1
2023-08-10 01:53:14 status half-installed base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:15 status unpacked base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:15 configure base-passwd:riscv64 3.5.52build1 3.5.52build1
2023-08-10 01:53:15 status half-configured base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:15 status installed base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:15 startup archives install
2023-08-10 01:53:15 install base-files:riscv64 <none> 12ubuntu4
2023-08-10 01:53:15 status half-installed base-files:riscv64 12ubuntu4
2023-08-10 01:53:15 status unpacked base-files:riscv64 12ubuntu4
2023-08-10 01:53:15 configure base-files:riscv64 12ubuntu4 12ubuntu4
2023-08-10 01:53:15 status half-configured base-files:riscv64 12ubuntu4
2023-08-10 01:53:17 status installed base-files:riscv64 12ubuntu4
2023-08-10 01:53:17 startup archives install
2023-08-10 01:53:17 upgrade dpkg 1.21.1ubuntu2 1.21.1ubuntu2
2023-08-10 01:53:17 status half-configured dpkg 1.21.1ubuntu2
2023-08-10 01:53:17 status unpacked dpkg 1.21.1ubuntu2
2023-08-10 01:53:17 status half-installed dpkg 1.21.1ubuntu2
2023-08-10 01:53:17 status unpacked dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:17 configure dpkg:riscv64 1.21.1ubuntu2 1.21.1ubuntu2
2023-08-10 01:53:17 status half-configured dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:18 status installed dpkg:riscv64 1.21.1ubuntu2
2023-08-10 01:53:18 startup archives install
2023-08-10 01:53:18 install libc6:riscv64 <none> 2.35-0ubuntu3
2023-08-10 01:53:18 status half-installed libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:19 status unpacked libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:19 configure libc6:riscv64 2.35-0ubuntu3 2.35-0ubuntu3
2023-08-10 01:53:19 status half-configured libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:20 status installed libc6:riscv64 2.35-0ubuntu3
2023-08-10 01:53:20 startup archives install
2023-08-10 01:53:20 install perl-base:riscv64 <none> 5.34.0-3ubuntu1
2023-08-10 01:53:20 status half-installed perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:20 status unpacked perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:20 configure perl-base:riscv64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-08-10 01:53:20 status half-configured perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:20 status installed perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:20 startup archives install
2023-08-10 01:53:20 install mawk:riscv64 <none> 1.3.4.20200120-3
2023-08-10 01:53:20 status half-installed mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:20 status unpacked mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:20 configure mawk:riscv64 1.3.4.20200120-3 1.3.4.20200120-3
2023-08-10 01:53:20 status half-configured mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:21 status installed mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:21 startup archives install
2023-08-10 01:53:21 install debconf:all <none> 1.5.79ubuntu1
2023-08-10 01:53:21 status half-installed debconf:all 1.5.79ubuntu1
2023-08-10 01:53:21 status unpacked debconf:all 1.5.79ubuntu1
2023-08-10 01:53:21 configure debconf:all 1.5.79ubuntu1 1.5.79ubuntu1
2023-08-10 01:53:21 status half-configured debconf:all 1.5.79ubuntu1
2023-08-10 01:53:21 status installed debconf:all 1.5.79ubuntu1
2023-08-10 01:53:21 startup archives unpack
2023-08-10 01:53:21 upgrade base-files:riscv64 12ubuntu4 12ubuntu4
2023-08-10 01:53:21 status half-configured base-files:riscv64 12ubuntu4
2023-08-10 01:53:22 status unpacked base-files:riscv64 12ubuntu4
2023-08-10 01:53:22 status half-installed base-files:riscv64 12ubuntu4
2023-08-10 01:53:22 status unpacked base-files:riscv64 12ubuntu4
2023-08-10 01:53:22 upgrade base-passwd:riscv64 3.5.52build1 3.5.52build1
2023-08-10 01:53:22 status half-configured base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:22 status unpacked base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:22 status half-installed base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:22 status unpacked base-passwd:riscv64 3.5.52build1
2023-08-10 01:53:22 install bash:riscv64 <none> 5.1-6ubuntu1
2023-08-10 01:53:22 status half-installed bash:riscv64 5.1-6ubuntu1
2023-08-10 01:53:22 status unpacked bash:riscv64 5.1-6ubuntu1
2023-08-10 01:53:22 install bsdutils:riscv64 <none> 1:2.37.2-4ubuntu3
